year,series,observed,trend,cycle_period5,remainder
1999,mortality_to_incidence_age_standardized_ratio,0.2615014613641891,0.26245298424975755,-0.0005279817495538276,-0.00042354113601460674
2000,mortality_to_incidence_age_standardized_ratio,0.258869118476443,0.2603579083317566,-0.0015134596611173915,2.4669805803803407e-05
2001,mortality_to_incidence_age_standardized_ratio,0.2584235366738234,0.258467536212715,-0.0003147672168811908,0.00027076767798957604
2002,mortality_to_incidence_age_standardized_ratio,0.2578245925434704,0.25747191506438505,0.0007927186678590339,-0.0004400411887736835
2003,mortality_to_incidence_age_standardized_ratio,0.2557189720056492,0.25744252308305676,0.0015634899596933757,-0.0032870410371009457
2004,mortality_to_incidence_age_standardized_ratio,0.2565233556225392,0.25783754641767154,-0.0005279817495538276,-0.0007862090455785141
2005,mortality_to_incidence_age_standardized_ratio,0.2587221585698016,0.2573438309110555,-0.0015134596611173915,0.002891787319863462
2006,mortality_to_incidence_age_standardized_ratio,0.2603986533468972,0.2567165308152224,-0.0003147672168811908,0.003996889748556016
2007,mortality_to_incidence_age_standardized_ratio,0.2553560150103902,0.25528174352639404,0.0007927186678590339,-0.0007184471838628983
2008,mortality_to_incidence_age_standardized_ratio,0.2525824715264836,0.2528507005813444,0.0015634899596933757,-0.001831719014554167
2009,mortality_to_incidence_age_standardized_ratio,0.2493494191783974,0.2497343513052788,-0.0005279817495538276,0.00014304962267242883
2010,mortality_to_incidence_age_standardized_ratio,0.2465669438445535,0.24707613371562107,-0.0015134596611173915,0.001004269790049819
2011,mortality_to_incidence_age_standardized_ratio,0.2448169069665693,0.24509318148525244,-0.0003147672168811908,3.8492698198045816e-05
2012,mortality_to_incidence_age_standardized_ratio,0.2420649270621016,0.24308992738086355,0.0007927186678590339,-0.0018177189866209933
2013,mortality_to_incidence_age_standardized_ratio,0.2426677103746405,0.2402892770526277,0.0015634899596933757,0.000814943362319415
2014,mortality_to_incidence_age_standardized_ratio,0.2393331486564529,0.23765648030187922,-0.0005279817495538276,0.002204650104127496
2015,mortality_to_incidence_age_standardized_ratio,0.2325636922033741,0.23504728005262066,-0.0015134596611173915,-0.000970128188129152
2016,mortality_to_incidence_age_standardized_ratio,0.231652923212827,0.23112895967643016,-0.0003147672168811908,0.0008387307532780228
2017,mortality_to_incidence_age_standardized_ratio,0.2290189258158088,0.22650839769991044,0.0007927186678590339,0.0017178094480393244
2018,mortality_to_incidence_age_standardized_ratio,0.223076108493688,0.22146650886405334,0.0015634899596933757,4.610966994129137e-05
2019,mortality_to_incidence_age_standardized_ratio,0.2162303387738543,0.21625140921367939,-0.0005279817495538276,0.0005069113097287504
2020,mortality_to_incidence_age_standardized_ratio,0.2073542480240887,0.21159489012603694,-0.0015134596611173915,-0.0027271824408308526
2021,mortality_to_incidence_age_standardized_ratio,0.205577424960957,0.20868898202915334,-0.0003147672168811908,-0.0027967898513151616
2022,mortality_to_incidence_age_standardized_ratio,0.2057363303775967,0.20165998208121508,0.0007927186678590339,0.003283629628522587
2023,mortality_to_incidence_age_standardized_ratio,0.20854656800927,0.19672746932251337,0.0015634899596933757,0.010255608727063248
