series,model,year,forecast,model_params
incidence_age_standardized_rate,Multistep_LSTM,2024,187.5265903296524,transform=first_difference; seq_len=5; horizon=7; hidden_size=16; num_layers=2; relu_head=True; max_epochs=300; final_epochs=76; batch_size=32; patience=10; n_splits=10; lr=0.001; device=mps
incidence_age_standardized_rate,Multistep_LSTM,2025,180.61280534887848,transform=first_difference; seq_len=5; horizon=7; hidden_size=16; num_layers=2; relu_head=True; max_epochs=300; final_epochs=76; batch_size=32; patience=10; n_splits=10; lr=0.001; device=mps
incidence_age_standardized_rate,Multistep_LSTM,2026,173.91408966208039,transform=first_difference; seq_len=5; horizon=7; hidden_size=16; num_layers=2; relu_head=True; max_epochs=300; final_epochs=76; batch_size=32; patience=10; n_splits=10; lr=0.001; device=mps
incidence_age_standardized_rate,Multistep_LSTM,2027,169.0059013190323,transform=first_difference; seq_len=5; horizon=7; hidden_size=16; num_layers=2; relu_head=True; max_epochs=300; final_epochs=76; batch_size=32; patience=10; n_splits=10; lr=0.001; device=mps
incidence_age_standardized_rate,Multistep_LSTM,2028,162.69136331701813,transform=first_difference; seq_len=5; horizon=7; hidden_size=16; num_layers=2; relu_head=True; max_epochs=300; final_epochs=76; batch_size=32; patience=10; n_splits=10; lr=0.001; device=mps
incidence_age_standardized_rate,Multistep_LSTM,2029,155.82633827353058,transform=first_difference; seq_len=5; horizon=7; hidden_size=16; num_layers=2; relu_head=True; max_epochs=300; final_epochs=76; batch_size=32; patience=10; n_splits=10; lr=0.001; device=mps
incidence_age_standardized_rate,Multistep_LSTM,2030,151.1512985053116,transform=first_difference; seq_len=5; horizon=7; hidden_size=16; num_layers=2; relu_head=True; max_epochs=300; final_epochs=76; batch_size=32; patience=10; n_splits=10; lr=0.001; device=mps
incidence_age_standardized_rate,Naive,2024,194.69865701819,last_observation
incidence_age_standardized_rate,Naive,2025,194.69865701819,last_observation
incidence_age_standardized_rate,Naive,2026,194.69865701819,last_observation
incidence_age_standardized_rate,Naive,2027,194.69865701819,last_observation
incidence_age_standardized_rate,Naive,2028,194.69865701819,last_observation
incidence_age_standardized_rate,Naive,2029,194.69865701819,last_observation
incidence_age_standardized_rate,Naive,2030,194.69865701819,last_observation
mortality_age_standardized_rate,ARIMA,2024,38.78536928409941,"selected_d=2; adf_p=0.0000; kpss_p=0.1000; rule=adf_and_kpss; source=training_period; order=(0, 2, 2); aic=61.23; order=(0, 2, 2); aic=76.03"
mortality_age_standardized_rate,ARIMA,2025,36.52210663250267,"selected_d=2; adf_p=0.0000; kpss_p=0.1000; rule=adf_and_kpss; source=training_period; order=(0, 2, 2); aic=61.23; order=(0, 2, 2); aic=76.03"
mortality_age_standardized_rate,ARIMA,2026,34.25884398090593,"selected_d=2; adf_p=0.0000; kpss_p=0.1000; rule=adf_and_kpss; source=training_period; order=(0, 2, 2); aic=61.23; order=(0, 2, 2); aic=76.03"
mortality_age_standardized_rate,ARIMA,2027,31.99558132930919,"selected_d=2; adf_p=0.0000; kpss_p=0.1000; rule=adf_and_kpss; source=training_period; order=(0, 2, 2); aic=61.23; order=(0, 2, 2); aic=76.03"
mortality_age_standardized_rate,ARIMA,2028,29.73231867771245,"selected_d=2; adf_p=0.0000; kpss_p=0.1000; rule=adf_and_kpss; source=training_period; order=(0, 2, 2); aic=61.23; order=(0, 2, 2); aic=76.03"
mortality_age_standardized_rate,ARIMA,2029,27.46905602611571,"selected_d=2; adf_p=0.0000; kpss_p=0.1000; rule=adf_and_kpss; source=training_period; order=(0, 2, 2); aic=61.23; order=(0, 2, 2); aic=76.03"
mortality_age_standardized_rate,ARIMA,2030,25.20579337451897,"selected_d=2; adf_p=0.0000; kpss_p=0.1000; rule=adf_and_kpss; source=training_period; order=(0, 2, 2); aic=61.23; order=(0, 2, 2); aic=76.03"
