series,model,simulation,year,forecast
incidence_age_standardized_rate,Drift,36,2027,156.41861433392705
incidence_age_standardized_rate,Drift,36,2028,147.5350375413496
incidence_age_standardized_rate,Drift,36,2029,138.65146074877214
incidence_age_standardized_rate,Drift,36,2030,129.76788395619468
incidence_age_standardized_rate,Drift,37,2024,199.09794726020382
incidence_age_standardized_rate,Drift,37,2025,190.1604696583861
incidence_age_standardized_rate,Drift,37,2026,181.22299205656833
incidence_age_standardized_rate,Drift,37,2027,172.2855144547506
incidence_age_standardized_rate,Drift,37,2028,163.34803685293286
incidence_age_standardized_rate,Drift,37,2029,154.41055925111513
incidence_age_standardized_rate,Drift,37,2030,145.4730816492974
incidence_age_standardized_rate,Drift,38,2024,190.04424725607785
incidence_age_standardized_rate,Drift,38,2025,180.55206390895398
incidence_age_standardized_rate,Drift,38,2026,171.0598805618301
incidence_age_standardized_rate,Drift,38,2027,161.56769721470624
incidence_age_standardized_rate,Drift,38,2028,152.07551386758237
incidence_age_standardized_rate,Drift,38,2029,142.5833305204585
incidence_age_standardized_rate,Drift,38,2030,133.09114717333466
incidence_age_standardized_rate,Drift,39,2024,192.55678038334412
incidence_age_standardized_rate,Drift,39,2025,184.32933959724264
incidence_age_standardized_rate,Drift,39,2026,176.10189881114113
incidence_age_standardized_rate,Drift,39,2027,167.87445802503964
incidence_age_standardized_rate,Drift,39,2028,159.64701723893813
incidence_age_standardized_rate,Drift,39,2029,151.41957645283662
incidence_age_standardized_rate,Drift,39,2030,143.1921356667351
incidence_age_standardized_rate,Drift,40,2024,204.52809156445815
incidence_age_standardized_rate,Drift,40,2025,195.85633487207215
incidence_age_standardized_rate,Drift,40,2026,187.18457817968616
incidence_age_standardized_rate,Drift,40,2027,178.5128214873002
incidence_age_standardized_rate,Drift,40,2028,169.8410647949142
incidence_age_standardized_rate,Drift,40,2029,161.1693081025282
incidence_age_standardized_rate,Drift,40,2030,152.4975514101422
incidence_age_standardized_rate,Drift,41,2024,187.15395211204515
incidence_age_standardized_rate,Drift,41,2025,178.89384831095379
incidence_age_standardized_rate,Drift,41,2026,170.6337445098624
incidence_age_standardized_rate,Drift,41,2027,162.373640708771
incidence_age_standardized_rate,Drift,41,2028,154.11353690767965
incidence_age_standardized_rate,Drift,41,2029,145.85343310658826
incidence_age_standardized_rate,Drift,41,2030,137.59332930549687
incidence_age_standardized_rate,Drift,42,2024,188.16619909634883
incidence_age_standardized_rate,Drift,42,2025,179.37947883980263
incidence_age_standardized_rate,Drift,42,2026,170.59275858325643
incidence_age_standardized_rate,Drift,42,2027,161.80603832671022
incidence_age_standardized_rate,Drift,42,2028,153.01931807016402
incidence_age_standardized_rate,Drift,42,2029,144.23259781361782
incidence_age_standardized_rate,Drift,42,2030,135.44587755707158
incidence_age_standardized_rate,Drift,43,2024,194.78809161974803
incidence_age_standardized_rate,Drift,43,2025,186.98999759788552
incidence_age_standardized_rate,Drift,43,2026,179.191903576023
incidence_age_standardized_rate,Drift,43,2027,171.3938095541605
incidence_age_standardized_rate,Drift,43,2028,163.59571553229796
incidence_age_standardized_rate,Drift,43,2029,155.79762151043548
incidence_age_standardized_rate,Drift,43,2030,147.99952748857294
incidence_age_standardized_rate,Drift,44,2024,180.27953818886903
incidence_age_standardized_rate,Drift,44,2025,171.93898920919577
incidence_age_standardized_rate,Drift,44,2026,163.59844022952254
incidence_age_standardized_rate,Drift,44,2027,155.2578912498493
incidence_age_standardized_rate,Drift,44,2028,146.91734227017605
incidence_age_standardized_rate,Drift,44,2029,138.57679329050282
incidence_age_standardized_rate,Drift,44,2030,130.2362443108296
incidence_age_standardized_rate,Drift,45,2024,203.95901825566511
incidence_age_standardized_rate,Drift,45,2025,196.35484598862305
incidence_age_standardized_rate,Drift,45,2026,188.75067372158097
incidence_age_standardized_rate,Drift,45,2027,181.1465014545389
incidence_age_standardized_rate,Drift,45,2028,173.54232918749682
incidence_age_standardized_rate,Drift,45,2029,165.93815692045473
incidence_age_standardized_rate,Drift,45,2030,158.33398465341267
incidence_age_standardized_rate,Drift,46,2024,192.16236287144835
incidence_age_standardized_rate,Drift,46,2025,183.42222734708005
incidence_age_standardized_rate,Drift,46,2026,174.68209182271178
incidence_age_standardized_rate,Drift,46,2027,165.94195629834348
incidence_age_standardized_rate,Drift,46,2028,157.20182077397521
incidence_age_standardized_rate,Drift,46,2029,148.46168524960694
incidence_age_standardized_rate,Drift,46,2030,139.72154972523865
incidence_age_standardized_rate,Drift,47,2024,181.8211220717834
incidence_age_standardized_rate,Drift,47,2025,172.99162728602093
incidence_age_standardized_rate,Drift,47,2026,164.16213250025845
incidence_age_standardized_rate,Drift,47,2027,155.33263771449595
incidence_age_standardized_rate,Drift,47,2028,146.50314292873347
incidence_age_standardized_rate,Drift,47,2029,137.673648142971
incidence_age_standardized_rate,Drift,47,2030,128.8441533572085
incidence_age_standardized_rate,Drift,48,2024,166.9904850595446
incidence_age_standardized_rate,Drift,48,2025,157.12913159599813
incidence_age_standardized_rate,Drift,48,2026,147.26777813245167
incidence_age_standardized_rate,Drift,48,2027,137.4064246689052
incidence_age_standardized_rate,Drift,48,2028,127.54507120535874
incidence_age_standardized_rate,Drift,48,2029,117.68371774181227
incidence_age_standardized_rate,Drift,48,2030,107.82236427826581
incidence_age_standardized_rate,Drift,49,2024,182.0915929436705
incidence_age_standardized_rate,Drift,49,2025,173.63349157117892
incidence_age_standardized_rate,Drift,49,2026,165.17539019868735
incidence_age_standardized_rate,Drift,49,2027,156.71728882619578
incidence_age_standardized_rate,Drift,49,2028,148.25918745370421
incidence_age_standardized_rate,Drift,49,2029,139.80108608121265
incidence_age_standardized_rate,Drift,49,2030,131.34298470872108
incidence_age_standardized_rate,Drift,50,2024,180.81784783753855
incidence_age_standardized_rate,Drift,50,2025,171.27641002323733
incidence_age_standardized_rate,Drift,50,2026,161.73497220893609
incidence_age_standardized_rate,Drift,50,2027,152.19353439463487
incidence_age_standardized_rate,Drift,50,2028,142.65209658033362
incidence_age_standardized_rate,Drift,50,2029,133.11065876603237
