series,model,year,forecast,model_params
mortality_age_standardized_rate,Naive,2030,40.60373671715751,last_observation
mortality_to_incidence_age_standardized_ratio,ARIMA,2024,0.2113568056409433,"selected_d=2; adf_p=0.0470; kpss_p=0.1000; rule=adf_and_kpss; source=full_observed_period; order=(0, 2, 0); aic=-274.15"
mortality_to_incidence_age_standardized_ratio,ARIMA,2025,0.2141670432726166,"selected_d=2; adf_p=0.0470; kpss_p=0.1000; rule=adf_and_kpss; source=full_observed_period; order=(0, 2, 0); aic=-274.15"
mortality_to_incidence_age_standardized_ratio,ARIMA,2026,0.2169772809042899,"selected_d=2; adf_p=0.0470; kpss_p=0.1000; rule=adf_and_kpss; source=full_observed_period; order=(0, 2, 0); aic=-274.15"
mortality_to_incidence_age_standardized_ratio,ARIMA,2027,0.21978751853596318,"selected_d=2; adf_p=0.0470; kpss_p=0.1000; rule=adf_and_kpss; source=full_observed_period; order=(0, 2, 0); aic=-274.15"
mortality_to_incidence_age_standardized_ratio,ARIMA,2028,0.22259775616763647,"selected_d=2; adf_p=0.0470; kpss_p=0.1000; rule=adf_and_kpss; source=full_observed_period; order=(0, 2, 0); aic=-274.15"
mortality_to_incidence_age_standardized_ratio,ARIMA,2029,0.22540799379930976,"selected_d=2; adf_p=0.0470; kpss_p=0.1000; rule=adf_and_kpss; source=full_observed_period; order=(0, 2, 0); aic=-274.15"
mortality_to_incidence_age_standardized_ratio,ARIMA,2030,0.22821823143098305,"selected_d=2; adf_p=0.0470; kpss_p=0.1000; rule=adf_and_kpss; source=full_observed_period; order=(0, 2, 0); aic=-274.15"
mortality_to_incidence_age_standardized_ratio,ARIMA_LSTM,2024,0.21077922745717437,"selected_d=2; adf_p=0.0470; kpss_p=0.1000; rule=adf_and_kpss; source=full_observed_period; order=(0, 2, 0); aic=-274.15; residual_seq_len=5; hidden_size=12; epochs=50; lr=0.01; device=mps"
mortality_to_incidence_age_standardized_ratio,ARIMA_LSTM,2025,0.21378866828314236,"selected_d=2; adf_p=0.0470; kpss_p=0.1000; rule=adf_and_kpss; source=full_observed_period; order=(0, 2, 0); aic=-274.15; residual_seq_len=5; hidden_size=12; epochs=50; lr=0.01; device=mps"
mortality_to_incidence_age_standardized_ratio,ARIMA_LSTM,2026,0.21664128716164105,"selected_d=2; adf_p=0.0470; kpss_p=0.1000; rule=adf_and_kpss; source=full_observed_period; order=(0, 2, 0); aic=-274.15; residual_seq_len=5; hidden_size=12; epochs=50; lr=0.01; device=mps"
